Date/Time,Value,Unit,Averaging Hour
12/14/2020 10:00:00 AM,19,μg/m3,1 Hr
12/14/2020 11:00:00 AM,4,μg/m3,1 Hr
12/14/2020 12:00:00 PM,0,μg/m3,1 Hr
12/14/2020 1:00:00 PM,2,μg/m3,1 Hr
12/14/2020 2:00:00 PM,1,μg/m3,1 Hr
12/14/2020 3:00:00 PM,6,μg/m3,1 Hr
12/14/2020 4:00:00 PM,7,μg/m3,1 Hr
12/14/2020 5:00:00 PM,6,μg/m3,1 Hr
12/14/2020 6:00:00 PM,7,μg/m3,1 Hr
12/14/2020 7:00:00 PM,13,μg/m3,1 Hr
12/14/2020 8:00:00 PM,8,μg/m3,1 Hr
12/14/2020 9:00:00 PM,10,μg/m3,1 Hr
12/14/2020 10:00:00 PM,13,μg/m3,1 Hr
12/14/2020 11:00:00 PM,15,μg/m3,1 Hr
12/15/2020 12:00:00 AM,13,μg/m3,1 Hr
12/15/2020 1:00:00 AM,22,μg/m3,1 Hr
12/15/2020 2:00:00 AM,26,μg/m3,1 Hr
12/15/2020 3:00:00 AM,26,μg/m3,1 Hr
12/15/2020 4:00:00 AM,23,μg/m3,1 Hr
12/15/2020 5:00:00 AM,21,μg/m3,1 Hr
12/15/2020 6:00:00 AM,20,μg/m3,1 Hr
12/15/2020 7:00:00 AM,23,μg/m3,1 Hr
12/15/2020 8:00:00 AM,23,μg/m3,1 Hr
12/15/2020 9:00:00 AM,25,μg/m3,1 Hr
12/15/2020 10:00:00 AM,14,μg/m3,1 Hr
12/15/2020 11:00:00 AM,6,μg/m3,1 Hr
12/15/2020 12:00:00 PM,5,μg/m3,1 Hr
12/15/2020 1:00:00 PM,2,μg/m3,1 Hr
12/15/2020 2:00:00 PM,1,μg/m3,1 Hr
12/15/2020 3:00:00 PM,2,μg/m3,1 Hr
12/15/2020 4:00:00 PM,0,μg/m3,1 Hr
12/15/2020 5:00:00 PM,10,μg/m3,1 Hr
12/15/2020 6:00:00 PM,8,μg/m3,1 Hr
12/15/2020 7:00:00 PM,14,μg/m3,1 Hr
12/15/2020 8:00:00 PM,21,μg/m3,1 Hr
12/15/2020 9:00:00 PM,22,μg/m3,1 Hr
